% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 257.6 ms, time offset -123.3 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level -2.263 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 53.0 mVpp, offset -149.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 17:30:10 -0500
% Time (s), Channel A (Input 1) (V), Channel B (Output 1) (V)
-5.528456000000e-03, 8.590000e-02, -1.331000e-01
-5.276344000000e-03, 8.630000e-02, -1.328333e-01
-5.024232000000e-03, 8.683333e-02, -1.325667e-01
-4.772120000000e-03, 8.710000e-02, -1.323000e-01
-4.520008000000e-03, 8.738333e-02, -1.320333e-01
-4.267896000000e-03, 8.791667e-02, -1.317667e-01
-4.015784000000e-03, 8.846667e-02, -1.315000e-01
-3.763672000000e-03, 8.900000e-02, -1.312333e-01
-3.511560000000e-03, 8.966667e-02, -1.309667e-01
-3.259448000000e-03, 8.980000e-02, -1.307000e-01
-3.007336000000e-03, 9.020000e-02, -1.304333e-01
-2.755224000000e-03, 9.060000e-02, -1.301667e-01
-2.503112000000e-03, 9.073333e-02, -1.299000e-01
-2.251000000000e-03, 9.141667e-02, -1.296333e-01
-1.998888000000e-03, 9.195000e-02, -1.293667e-01
-1.746776000000e-03, 9.223333e-02, -1.291000e-01
-1.494664000000e-03, 9.263333e-02, -1.288333e-01
-1.242552000000e-03, 9.290000e-02, -1.285667e-01
-9.904400000000e-04, 9.396667e-02, -1.283000e-01
-7.383280000000e-04, 9.463333e-02, -1.280167e-01
-4.862160000000e-04, 9.503333e-02, -1.277500e-01
-2.341040000000e-04, 9.545000e-02, -1.274833e-01
1.800800000000e-05, 9.598333e-02, -1.272167e-01
2.701200000000e-04, 9.611667e-02, -1.269500e-01
5.222320000000e-04, 9.653333e-02, -1.266833e-01
7.743440000000e-04, 9.680000e-02, -1.264167e-01
1.026456000000e-03, 9.733333e-02, -1.261500e-01
1.278568000000e-03, 9.746667e-02, -1.258833e-01
1.530680000000e-03, 9.786667e-02, -1.256167e-01
1.782792000000e-03, 9.866667e-02, -1.253500e-01
2.034904000000e-03, 9.893333e-02, -1.250833e-01
2.287016000000e-03, 9.933333e-02, -1.248167e-01
2.539128000000e-03, 9.988333e-02, -1.245500e-01
2.791240000000e-03, 9.988333e-02, -1.242833e-01
3.043352000000e-03, 1.001500e-01, -1.240167e-01
3.295464000000e-03, 1.005667e-01, -1.237500e-01
3.547576000000e-03, 1.008333e-01, -1.234833e-01
3.799688000000e-03, 1.011000e-01, -1.232167e-01
4.051800000000e-03, 1.013667e-01, -1.229500e-01
4.303912000000e-03, 1.015000e-01, -1.226833e-01
4.556024000000e-03, 1.016333e-01, -1.226000e-01
4.808136000000e-03, 1.013667e-01, -1.228500e-01
5.060248000000e-03, 1.012333e-01, -1.231167e-01
5.312360000000e-03, 1.011000e-01, -1.233833e-01
5.564472000000e-03, 1.008333e-01, -1.236500e-01
5.816584000000e-03, 1.004333e-01, -1.239167e-01
6.068696000000e-03, 1.004333e-01, -1.241833e-01
6.320808000000e-03, 1.000167e-01, -1.244500e-01
6.572920000000e-03, 9.975000e-02, -1.247167e-01
6.825032000000e-03, 9.946667e-02, -1.249833e-01
7.077144000000e-03, 9.853333e-02, -1.252500e-01
7.329256000000e-03, 9.800000e-02, -1.255333e-01
7.581368000000e-03, 9.733333e-02, -1.258000e-01
7.833480000000e-03, 9.706667e-02, -1.260667e-01
8.085592000000e-03, 9.666667e-02, -1.263333e-01
8.337704000000e-03, 9.653333e-02, -1.266000e-01
8.589816000000e-03, 9.640000e-02, -1.268667e-01
8.841928000000e-03, 9.585000e-02, -1.271333e-01
9.094040000000e-03, 9.558333e-02, -1.274000e-01
9.346152000000e-03, 9.530000e-02, -1.276667e-01
9.598264000000e-03, 9.490000e-02, -1.279333e-01
9.850376000000e-03, 9.450000e-02, -1.282000e-01
1.010248800000e-02, 9.410000e-02, -1.284667e-01
1.035460000000e-02, 9.383333e-02, -1.287333e-01
1.060671200000e-02, 9.356667e-02, -1.290000e-01
1.085882400000e-02, 9.290000e-02, -1.292667e-01
1.111093600000e-02, 9.276667e-02, -1.295333e-01
1.136304800000e-02, 9.263333e-02, -1.298000e-01
1.161516000000e-02, 9.236667e-02, -1.300667e-01
1.186727200000e-02, 9.195000e-02, -1.303333e-01
1.211938400000e-02, 9.181667e-02, -1.306000e-01
1.237149600000e-02, 9.155000e-02, -1.308667e-01
1.262360800000e-02, 9.155000e-02, -1.311333e-01
1.287572000000e-02, 9.113333e-02, -1.314000e-01
1.312783200000e-02, 9.126667e-02, -1.316667e-01
1.337994400000e-02, 9.100000e-02, -1.319333e-01
1.363205600000e-02, 9.086667e-02, -1.322000e-01
1.388416800000e-02, 9.033333e-02, -1.324833e-01
1.413628000000e-02, 8.993333e-02, -1.327500e-01
1.438839200000e-02, 8.940000e-02, -1.330167e-01
1.464050400000e-02, 8.940000e-02, -1.332833e-01
1.489261600000e-02, 8.900000e-02, -1.335500e-01
1.514472800000e-02, 8.873333e-02, -1.338167e-01
1.539684000000e-02, 8.873333e-02, -1.340833e-01
1.564895200000e-02, 8.860000e-02, -1.343500e-01
1.590106400000e-02, 8.860000e-02, -1.346167e-01
1.615317600000e-02, 8.833333e-02, -1.348833e-01
1.640528800000e-02, 8.820000e-02, -1.351500e-01
1.665740000000e-02, 8.791667e-02, -1.354167e-01
1.690951200000e-02, 8.765000e-02, -1.356833e-01
1.716162400000e-02, 8.710000e-02, -1.359500e-01
1.741373600000e-02, 8.696667e-02, -1.362167e-01
1.766584800000e-02, 8.656667e-02, -1.364833e-01
1.791796000000e-02, 8.616667e-02, -1.367500e-01
1.817007200000e-02, 8.590000e-02, -1.370167e-01
1.842218400000e-02, 8.603333e-02, -1.372833e-01
1.867429600000e-02, 8.550000e-02, -1.375500e-01
1.892640800000e-02, 8.550000e-02, -1.378167e-01
1.917852000000e-02, 8.496667e-02, -1.380833e-01
1.943063200000e-02, 8.456667e-02, -1.383500e-01
1.968274400000e-02, 8.430000e-02, -1.386167e-01
1.993485600000e-02, 8.375000e-02, -1.388833e-01
2.018696800000e-02, 8.321667e-02, -1.391500e-01
2.043908000000e-02, 8.321667e-02, -1.394167e-01
2.069119200000e-02, 8.295000e-02, -1.396833e-01
2.094330400000e-02, 8.226667e-02, -1.399500e-01
2.119541600000e-02, 8.173333e-02, -1.402167e-01
2.144752800000e-02, 8.133333e-02, -1.404833e-01
2.169964000000e-02, 8.093333e-02, -1.407500e-01
2.195175200000e-02, 8.066667e-02, -1.410333e-01
2.220386400000e-02, 8.040000e-02, -1.413000e-01
2.245597600000e-02, 8.013333e-02, -1.415667e-01
2.270808800000e-02, 7.986667e-02, -1.418333e-01
2.296020000000e-02, 7.958333e-02, -1.421000e-01
2.321231200000e-02, 7.958333e-02, -1.423667e-01
2.346442400000e-02, 7.931667e-02, -1.426333e-01
2.371653600000e-02, 7.905000e-02, -1.429000e-01
2.396864800000e-02, 7.823333e-02, -1.431667e-01
2.422076000000e-02, 7.770000e-02, -1.434333e-01
2.447287200000e-02, 7.756667e-02, -1.437000e-01
2.472498400000e-02, 7.730000e-02, -1.439667e-01
2.497709600000e-02, 7.730000e-02, -1.442333e-01
2.522920800000e-02, 7.690000e-02, -1.445000e-01
2.548132000000e-02, 7.703333e-02, -1.447667e-01
2.573343200000e-02, 7.663333e-02, -1.450333e-01
2.598554400000e-02, 7.623333e-02, -1.453000e-01
2.623765600000e-02, 7.636667e-02, -1.455667e-01
2.648976800000e-02, 7.623333e-02, -1.458333e-01
2.674188000000e-02, 7.568333e-02, -1.461000e-01
2.699399200000e-02, 7.541667e-02, -1.463667e-01
2.724610400000e-02, 7.541667e-02, -1.466333e-01
2.749821600000e-02, 7.515000e-02, -1.469000e-01
2.775032800000e-02, 7.515000e-02, -1.471667e-01
2.800244000000e-02, 7.528333e-02, -1.474333e-01
2.825455200000e-02, 7.515000e-02, -1.477000e-01
2.850666400000e-02, 7.528333e-02, -1.479833e-01
2.875877600000e-02, 7.486667e-02, -1.482500e-01
2.901088800000e-02, 7.501667e-02, -1.485167e-01
