% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 97.17 ms, time offset -156.6 ms, Normal acquisition mode, 28 averages
% Edge trigger: Channel B, level 90.00 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 90.0 mVpp, offset 91.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 17:21:48 -0500
% Time (s), Channel A (Input 1) (V), Channel B (Output 1) (V)
1.080335520000e-01, 6.854286e-02, 1.045470e-01
1.081286400000e-01, 6.864762e-02, 1.047167e-01
1.082237280000e-01, 6.874286e-02, 1.048833e-01
1.083188160000e-01, 6.879524e-02, 1.050500e-01
1.084139040000e-01, 6.885238e-02, 1.052202e-01
1.085089920000e-01, 6.898572e-02, 1.053923e-01
1.086040800000e-01, 6.910476e-02, 1.055702e-01
1.086991680000e-01, 6.919048e-02, 1.057440e-01
1.087942560000e-01, 6.918095e-02, 1.059167e-01
1.088893440000e-01, 6.941429e-02, 1.060833e-01
1.089844320000e-01, 6.942857e-02, 1.062500e-01
1.090795200000e-01, 6.958095e-02, 1.064173e-01
1.091746080000e-01, 6.966191e-02, 1.065911e-01
1.092696960000e-01, 6.980952e-02, 1.067655e-01
1.093647840000e-01, 6.994286e-02, 1.069435e-01
1.094598720000e-01, 7.004286e-02, 1.071143e-01
1.095549600000e-01, 7.030000e-02, 1.072833e-01
1.096500480000e-01, 7.041905e-02, 1.074500e-01
1.097451360000e-01, 7.058155e-02, 1.076167e-01
1.098402240000e-01, 7.074583e-02, 1.077875e-01
1.099353120000e-01, 7.092857e-02, 1.079601e-01
1.100304000000e-01, 7.108333e-02, 1.081399e-01
1.101254880000e-01, 7.122560e-02, 1.083113e-01
1.102205760000e-01, 7.146012e-02, 1.084833e-01
1.103156640000e-01, 7.164583e-02, 1.086500e-01
1.104107520000e-01, 7.183691e-02, 1.088167e-01
1.105058400000e-01, 7.197857e-02, 1.089851e-01
1.106009280000e-01, 7.211905e-02, 1.091589e-01
1.106960160000e-01, 7.232857e-02, 1.093339e-01
1.107911040000e-01, 7.249524e-02, 1.095107e-01
1.108861920000e-01, 7.267619e-02, 1.096815e-01
1.109812800000e-01, 7.289524e-02, 1.098500e-01
1.110763680000e-01, 7.302381e-02, 1.100167e-01
1.111714560000e-01, 7.306191e-02, 1.101833e-01
1.112665440000e-01, 7.324762e-02, 1.103554e-01
1.113616320000e-01, 7.333810e-02, 1.105274e-01
1.114567200000e-01, 7.343810e-02, 1.107077e-01
1.115518080000e-01, 7.365774e-02, 1.108792e-01
1.116468960000e-01, 7.372381e-02, 1.110500e-01
1.117419840000e-01, 7.396250e-02, 1.112167e-01
1.118370720000e-01, 7.412441e-02, 1.113833e-01
1.119321600000e-01, 7.427738e-02, 1.115530e-01
1.120272480000e-01, 7.452024e-02, 1.117268e-01
1.121223360000e-01, 7.476607e-02, 1.119018e-01
1.122174240000e-01, 7.494226e-02, 1.120780e-01
1.123125120000e-01, 7.514167e-02, 1.122494e-01
1.124076000000e-01, 7.538869e-02, 1.124167e-01
1.125026880000e-01, 7.565417e-02, 1.125833e-01
1.125977760000e-01, 7.590655e-02, 1.127500e-01
1.126928640000e-01, 7.616072e-02, 1.129238e-01
1.127879520000e-01, 7.641905e-02, 1.130958e-01
1.128830400000e-01, 7.667143e-02, 1.132756e-01
1.129781280000e-01, 7.692381e-02, 1.134470e-01
1.130732160000e-01, 7.719048e-02, 1.136167e-01
1.131683040000e-01, 7.745238e-02, 1.137833e-01
1.132633920000e-01, 7.772381e-02, 1.139500e-01
1.133584800000e-01, 7.797143e-02, 1.141202e-01
1.134535680000e-01, 7.826191e-02, 1.142940e-01
1.135486560000e-01, 7.855833e-02, 1.144702e-01
1.136437440000e-01, 7.880536e-02, 1.146458e-01
1.137388320000e-01, 7.910774e-02, 1.148167e-01
1.138339200000e-01, 7.935357e-02, 1.149833e-01
1.139290080000e-01, 7.959464e-02, 1.151500e-01
1.140240960000e-01, 7.987738e-02, 1.153173e-01
1.141191840000e-01, 8.008929e-02, 1.154911e-01
1.142142720000e-01, 8.041905e-02, 1.156655e-01
1.143093600000e-01, 8.065714e-02, 1.158435e-01
1.144044480000e-01, 8.092381e-02, 1.160143e-01
1.144995360000e-01, 8.125238e-02, 1.161833e-01
1.145946240000e-01, 8.149524e-02, 1.163500e-01
1.146897120000e-01, 8.177143e-02, 1.165167e-01
1.147848000000e-01, 8.202857e-02, 1.166875e-01
1.148798880000e-01, 8.231012e-02, 1.168613e-01
1.149749760000e-01, 8.254941e-02, 1.170399e-01
1.150700640000e-01, 8.282798e-02, 1.172137e-01
1.151651520000e-01, 8.318750e-02, 1.173833e-01
1.152602400000e-01, 8.353869e-02, 1.175500e-01
1.153553280000e-01, 8.380298e-02, 1.177167e-01
1.154504160000e-01, 8.413095e-02, 1.178851e-01
1.155455040000e-01, 8.447024e-02, 1.180589e-01
1.156405920000e-01, 8.482322e-02, 1.182339e-01
1.157356800000e-01, 8.514286e-02, 1.184107e-01
1.158307680000e-01, 8.548572e-02, 1.185815e-01
1.159258560000e-01, 8.589048e-02, 1.187500e-01
1.160209440000e-01, 8.613810e-02, 1.189167e-01
1.161160320000e-01, 8.652381e-02, 1.190833e-01
1.162111200000e-01, 8.688393e-02, 1.192554e-01
1.163062080000e-01, 8.725833e-02, 1.194292e-01
1.164012960000e-01, 8.763810e-02, 1.196077e-01
1.164963840000e-01, 8.800655e-02, 1.197810e-01
1.165914720000e-01, 8.837262e-02, 1.199500e-01
1.166865600000e-01, 8.873572e-02, 1.201167e-01
1.167816480000e-01, 8.913810e-02, 1.202833e-01
1.168767360000e-01, 8.951429e-02, 1.204530e-01
1.169718240000e-01, 8.991429e-02, 1.206268e-01
1.170669120000e-01, 9.034345e-02, 1.208018e-01
1.171620000000e-01, 9.071548e-02, 1.209780e-01
1.172570880000e-01, 9.112500e-02, 1.211494e-01
1.173521760000e-01, 9.155536e-02, 1.213167e-01
1.174472640000e-01, 9.189345e-02, 1.214833e-01
1.175423520000e-01, 9.227083e-02, 1.216500e-01
1.176374400000e-01, 9.263691e-02, 1.218238e-01
1.177325280000e-01, 9.301905e-02, 1.219976e-01
1.178276160000e-01, 9.333810e-02, 1.221756e-01
1.179227040000e-01, 9.364762e-02, 1.223482e-01
1.180177920000e-01, 9.402381e-02, 1.225167e-01
1.181128800000e-01, 9.432857e-02, 1.226833e-01
1.182079680000e-01, 9.464762e-02, 1.228500e-01
1.183030560000e-01, 9.496845e-02, 1.230202e-01
1.183981440000e-01, 9.531488e-02, 1.231940e-01
1.184932320000e-01, 9.561369e-02, 1.233702e-01
1.185883200000e-01, 9.596607e-02, 1.235458e-01
1.186834080000e-01, 9.630655e-02, 1.237167e-01
1.187784960000e-01, 9.655298e-02, 1.238833e-01
1.188735840000e-01, 9.688572e-02, 1.240500e-01
1.189686720000e-01, 9.723810e-02, 1.242167e-01
1.190637600000e-01, 9.753810e-02, 1.243911e-01
1.191588480000e-01, 9.784762e-02, 1.245661e-01
1.192539360000e-01, 9.823333e-02, 1.247435e-01
1.193490240000e-01, 9.860595e-02, 1.249161e-01
1.194441120000e-01, 9.901845e-02, 1.250833e-01
1.195392000000e-01, 9.944226e-02, 1.252500e-01
1.196342880000e-01, 9.985000e-02, 1.254167e-01
1.197293760000e-01, 1.002131e-01, 1.255875e-01
1.198244640000e-01, 1.006173e-01, 1.257619e-01
1.199195520000e-01, 1.010601e-01, 1.259405e-01
1.200146400000e-01, 1.014571e-01, 1.261137e-01
1.201097280000e-01, 1.018429e-01, 1.262833e-01
1.202048160000e-01, 1.022762e-01, 1.264500e-01
1.202999040000e-01, 1.026714e-01, 1.266167e-01
1.203949920000e-01, 1.030542e-01, 1.267839e-01
1.204900800000e-01, 1.034595e-01, 1.269589e-01
